classe,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80
0,3,611,611,11,0,1,0,1,0,0,0,0,22,2,3,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,10,0,0,0,0,70,0,0,50,1,4,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,1
0,2,377,377,10,0,1,0,1,0,1,0,1,12,2,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,50,3,3,0,0,3,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,6,6,0,0,0,0,5,1,0,2,3,2,3,0,0,0,0,0,0,3,1
0,1,136,136,38,0,1,12,1,0,0,0,0,13,2,5,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,10,0,0,0,0,50,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,5,0,0,3,4,3,0,0,0,0,0,1,0,0,1
0,1,400,400,44,0,1,6,1,0,2,0,0,14,1,7,0,0,0,1,0,0,1,0,0,1,10,0,0,0,0,30,3,3,0,0,50,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,5,4,3,0,3,0,3,0,0,0,0,0,1,0,0,1
0,3,229,229,12,0,1,0,1,0,0,0,0,15,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,3,7,3,4,2,1,0,0,0,1,4,2
0,3,208,208,62,0,1,0,1,0,0,0,0,13,1,5,0,0,0,1,2,2,1,0,0,1,10,0,0,0,0,10,0,0,0,0,70,3,3,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,5,0,1,1,0,0,5,0,0,1,1,1,1,3,0,0,1,1,0,11,2
0,2,309,309,9,0,1,16,1,0,0,0,0,11,2,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,0,3,1
0,3,286,286,10,0,1,0,1,0,0,0,0,3,2,7,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,10,0,0,0,0,30,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,1,1,1,1,1,1,1,0,0,0,0,5,0,0,3,4,3,4,3,1,0,0,1,1,3,1
0,3,319,319,8,0,1,0,1,0,1,0,0,24,2,3,0,1,0,1,0,2,1,1,0,1,30,0,0,0,0,30,0,0,0,0,50,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,3,4,3,4,3,1,1,1,0,0,3,1
0,3,177,177,23,0,1,3,1,0,0,0,0,10,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,3,1,0,0,0,0,0,0,0,1,1,2,2,3,1,0,1,1,0,7,2
