classe,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77
1,2,269,269,7,0,0,0,4,0,6,6,2,3,1,1,7,0,7,7,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,50,1,3,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,18,2,13,4,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,1,0,0,0
1,3,136,136,7,0,0,0,4,0,6,6,0,0,0,0,7,0,7,7,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,3,5,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,11,2,11,0,0,0,0,0,0,0,2,2,0,0,1,0,1,1,1,1,2,1,0,0,0
0,3,239,239,19,0,0,0,4,0,6,6,0,0,0,0,1,0,1,1,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,30,3,4,0,0,0,0,2,3,2,3,1,0,0,0,0,0,0,19,1,5,0,0,0,0,0,0,0,3,1,0,0,2,1,0,1,1,1,4,2,0,0,1
0,3,119,119,45,0,0,0,7,0,2,2,1,0,1,1,6,8,5,5,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,50,3,0,0,0,0,0,2,2,0,0,1,0,0,0,1,0,1,12,2,3,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,8,1,1,0,1
0,2,402,402,21,0,0,0,1,9,3,3,0,0,0,0,1,0,1,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1,0,2,1,0,0,1
1,3,541,541,10,0,0,0,0,0,2,2,2,4,2,2,4,13,4,4,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,0,0,30,1,0,0,2,3,2,3,1,0,0,0,0,0,0,14,1,5,3,1,0,0,0,0,0,6,6,1,1,0,0,1,1,0,1,3,1,0,0,0
0,3,461,461,15,0,0,0,1,9,5,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,1,3,3,1,0,0,0,2,1,6,6,1,1,1,0,0,0,0,0,12,2,0,0,0
0,3,611,611,11,0,0,0,0,0,2,2,1,0,1,1,1,0,1,1,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,70,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,3,4,1,0,0,0,1,0,6,6,1,1,1,0,1,0,0,1,4,1,0,0,0
0,1,171,171,9,0,0,0,0,0,2,2,1,0,1,1,1,0,1,1,2,1,1,1,1,10,0,0,0,0,10,0,0,0,0,70,3,4,0,0,0,0,2,2,2,2,0,0,0,0,1,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1,3,438,438,10,0,0,0,1,16,3,3,0,0,0,0,4,4,3,3,0,0,0,0,1,10,0,0,0,0,50,3,5,0,0,70,3,5,0,0,0,0,2,3,4,12,1,0,1,1,1,1,1,47,3,7,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,1,0,7,1,1,1,1
0,3,224,224,7,0,0,0,1,6,2,2,0,0,0,0,2,5,1,1,0,0,1,0,0,10,0,0,0,0,30,3,5,0,0,70,3,4,70,1,2,3,3,4,3,4,0,0,0,0,1,0,0,24,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,2,1,1,0,0
0,3,349,349,16,0,0,0,0,0,2,2,1,0,1,1,1,0,1,1,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,70,3,5,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,8,2,3,4,1,0,0,0,1,0,5,4,0,0,2,1,0,0,1,1,5,1,0,0,0
0,2,377,377,10,0,0,1,0,0,2,2,0,0,0,0,1,0,1,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,50,3,5,0,0,1,1,2,3,2,3,0,0,0,0,0,0,0,12,2,1,3,1,0,0,0,0,0,6,6,1,1,0,0,0,0,0,0,3,1,0,0,0
0,1,131,131,114,0,1,0,0,0,2,2,0,0,0,0,1,0,1,1,1,1,0,0,1,10,0,0,0,0,10,0,0,0,0,30,3,0,50,1,2,0,3,0,4,8,0,0,0,0,0,0,1,30,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,3,395,395,13,0,0,0,4,0,6,6,2,13,2,2,7,0,7,7,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,50,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,9,2,9,3,1,0,0,0,2,0,6,6,1,1,1,0,0,1,0,1,3,1,0,0,0
0,3,489,489,11,0,0,0,4,0,6,6,1,0,1,1,2,0,1,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,2,3,2,3,1,0,0,0,0,0,0,3,1,11,3,1,0,0,0,0,0,5,4,0,0,2,1,1,0,1,0,4,1,0,0,1
0,1,136,136,38,0,0,0,3,12,4,4,1,0,1,1,5,0,5,5,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,50,3,5,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,13,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,2,819,819,5,0,0,0,0,0,2,2,0,0,0,0,4,6,4,4,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,0,30,1,1,1,3,7,3,7,1,0,0,0,0,0,0,13,1,3,3,1,1,1,0,0,0,6,6,1,1,0,0,0,0,1,0,2,1,0,0,0
0,2,449,449,8,0,0,0,1,7,2,2,1,0,1,1,6,17,6,6,0,0,0,0,1,10,0,0,0,0,50,0,0,0,0,70,0,0,0,0,1,1,3,0,3,0,0,0,0,0,0,0,0,22,2,5,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0
1,3,277,277,42,0,0,0,0,0,2,2,0,0,0,0,4,8,3,3,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,30,3,4,0,0,2,0,3,0,3,0,0,0,0,0,1,1,1,45,3,5,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,10,1,1,1,0
0,1,134,134,55,0,0,0,3,8,4,4,0,0,0,0,1,0,1,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,50,3,4,0,0,1,1,2,2,0,0,1,0,0,0,0,0,0,10,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0,1,170,170,93,0,0,0,1,13,2,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,3,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,9,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,400,400,44,0,0,0,1,6,2,2,0,0,0,0,1,0,1,1,0,0,0,0,1,10,0,0,0,0,30,3,5,0,0,50,3,4,0,0,2,3,3,0,3,0,1,0,0,0,0,0,0,14,1,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
1,1,110,110,25,0,0,0,0,0,2,2,0,0,0,0,5,0,5,5,0,0,1,0,1,10,0,0,0,0,30,1,0,0,0,70,3,0,0,0,0,0,3,0,4,8,0,0,0,0,1,0,0,25,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
