classe,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85
1,1,2,229,229,6,1,0,0,0,3,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,1,1,3,7,0,0,0,0,0,0,0,11,1,3,3,1,0,0,0,0,0,3,7,0,0,0,0,0,0,1,0,2,1,10,0,0,0,0,0,0,1,0
1,0,1,249,249,7,1,0,1,0,6,9,4,5,0,0,0,0,1,0,1,1,0,0,1,0,1,10,0,0,0,0,30,0,0,30,2,50,0,0,70,2,2,2,3,4,3,4,1,0,0,0,1,0,1,30,2,3,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,30,0,0,0,2,1,0,0,0
1,1,3,459,459,14,1,1,2,0,3,0,2,3,0,0,0,0,6,6,5,5,2,0,1,1,1,10,1,1,0,0,70,4,5,0,0,70,4,0,70,2,2,2,3,4,4,0,0,0,0,0,1,1,0,55,3,5,4,1,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1,10,2,30,0,30,0,0,0,0,1,0
1,0,3,496,496,16,1,0,0,0,3,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,70,4,6,0,0,2,3,3,7,0,0,0,0,0,0,0,0,0,19,2,3,3,0,0,0,0,0,0,5,7,0,0,0,0,0,1,0,1,11,2,10,0,0,0,0,0,0,0,0
1,0,3,1022,1022,15,1,0,0,0,3,0,3,3,0,0,0,0,1,0,1,1,0,0,2,1,1,30,0,0,0,0,30,0,0,50,2,30,0,0,70,2,2,3,3,7,4,15,1,0,0,0,1,1,1,136,6,3,4,1,2,1,0,0,0,6,63,1,1,0,0,0,0,0,0,27,3,50,3,0,0,0,0,0,0,1
1,1,3,1088,1088,11,1,0,1,0,4,0,3,3,0,0,0,0,4,12,4,4,0,0,2,1,1,10,0,0,0,0,30,0,0,0,0,70,0,0,70,2,1,1,3,7,4,15,1,0,1,1,1,1,1,47,3,3,4,1,2,1,0,1,0,6,31,1,0,0,0,1,0,0,0,12,2,50,3,30,0,0,0,0,1,1
0,0,3,821,821,16,1,0,0,1,3,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,70,3,4,70,2,2,3,3,7,3,7,0,0,0,0,0,0,0,39,3,1,4,1,0,0,0,2,0,6,63,1,1,0,0,0,1,0,0,10,1,10,0,0,0,2,0,0,0,0
1,1,3,540,540,23,1,0,0,1,3,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,50,0,0,0,0,2,3,3,7,0,0,0,0,0,0,0,0,0,16,2,1,3,1,0,0,0,2,0,6,31,1,0,2,1,0,1,1,1,3,1,50,0,0,0,0,0,0,1,0
1,1,3,849,849,10,1,1,0,0,3,0,2,3,0,0,0,0,1,0,1,1,1,1,1,1,1,10,0,0,0,0,10,0,0,0,0,70,3,4,70,2,2,3,3,7,4,14,0,0,0,0,0,0,1,27,2,3,4,1,0,0,0,1,0,5,15,0,0,1,0,1,0,0,1,19,2,30,0,0,0,0,0,0,1,0
1,1,1,219,219,28,1,0,0,0,3,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,4,6,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,6,1,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,1,10,0,0,0,0,0,0,1,1
