col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80
1,1,390,390,24,0,1,0,1,0,0,0,0,23,2,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,1,1,1,1,1,4,3,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1
1,1,219,219,16,0,1,0,1,0,0,0,0,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,4,4,0,0,0,0,5,0,0,0,0,3,7,0,0,0,0,1,0,0,1
1,3,312,312,13,640,1,0,1,0,0,0,0,12,2,13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,0,0,0,0,50,3,3,0,0,3,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,4,4,0,0,0,0,5,0,0,2,3,2,3,3,1,0,0,0,0,7,1
0,1,157,157,34,0,1,0,1,0,0,0,0,7,2,11,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,310,310,14,0,1,0,1,0,0,0,0,7,1,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,50,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,1,1,1,1,1,3,3,0,0,0,0,5,0,0,0,0,3,6,0,0,0,0,1,0,0,1
1,1,484,484,13,0,1,0,1,0,0,0,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,16,1,1,1,1,1,1,4,3,0,0,0,0,0,0,0,3,7,3,7,0,0,0,0,1,0,0,1
1,3,171,171,10,0,1,8,1,0,2,0,0,13,2,3,0,1,0,1,0,0,1,1,0,1,30,0,0,0,0,10,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,2,1,3,0,3,0,3,1,1,0,1,0,4,1
0,2,629,629,14,0,1,0,1,0,0,0,0,59,3,5,0,1,1,1,2,2,1,1,1,1,10,0,0,0,0,50,3,3,0,0,90,3,3,50,1,4,0,1,0,0,0,0,0,0,1,1,1,12,1,1,1,1,1,1,2,1,1,1,0,4,4,0,1,0,0,4,8,0,0,0,0,0,0,2,1
0,2,640,640,4,0,1,0,1,0,0,0,1,8,2,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,3,3,0,0,3,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,6,6,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,3,1
0,3,419,419,34,0,1,0,1,14,0,0,0,42,3,7,0,1,0,0,0,2,1,1,0,0,10,0,0,0,0,50,3,3,0,0,110,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,2,0,0,1,0,4,4,0,1,3,4,3,4,3,0,0,0,0,0,13,2
