col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80
0,3,385,385,21,0,1,0,1,0,0,0,0,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,1,0,0,0,0,5,0,0,2,3,2,3,2,1,0,1,1,0,10,2
1,2,150,150,13,0,1,0,1,0,0,0,0,6,2,9,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
1,2,800,800,0,770,1,0,1,0,0,0,0,18,2,5,0,1,0,1,0,0,1,1,0,1,10,0,0,0,0,10,0,0,0,0,50,3,3,0,0,4,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,5,4,0,0,0,0,5,0,1,1,1,1,1,0,0,0,0,0,0,2,1
1,2,405,405,10,750,1,0,1,0,2,1,0,35,3,3,0,1,1,1,2,2,1,1,1,1,10,1,1,0,0,50,1,1,0,0,90,0,0,0,0,4,1,2,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,1
1,3,195,195,22,0,1,0,1,0,0,0,0,4,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,0,0,30,1,3,1,0,0,0,2,0,1,0,0,0,1,0,1,1,1,1,1,1,6,5,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,3,1
1,3,179,179,6,0,1,0,1,0,0,0,0,12,2,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3,4,3,4,3,1,1,0,0,0,3,1
1,1,400,400,9,0,1,0,1,0,0,0,0,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,5,5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,2
0,3,650,650,12,0,1,7,1,0,2,0,0,144,7,5,0,1,1,1,2,2,1,1,1,1,50,3,3,0,0,50,3,3,30,1,50,3,3,50,1,0,0,0,0,0,0,0,0,0,1,1,1,11,1,1,1,1,1,1,1,0,0,0,5,5,5,2,0,3,0,4,0,0,0,0,1,0,0,5,1
0,1,209,209,72,0,1,0,1,0,0,0,0,6,1,7,0,0,0,1,0,2,1,0,0,1,10,0,0,0,0,10,1,1,0,0,30,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,5,0,0,3,4,3,4,0,0,0,0,1,0,0,1
0,3,389,389,9,0,1,5,1,0,0,0,0,14,1,5,0,0,0,1,0,0,1,0,0,1,10,0,0,0,0,10,0,0,0,0,50,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,1,0,0,0,0,6,0,0,0,0,3,6,0,0,1,1,0,0,7,2
0,3,140,140,11,0,1,0,1,0,0,0,0,36,3,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,3,3,70,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,5,0,0,1,0,1,0,3,1,0,0,0,0,3,1
